id; nazwa; sezon_rozgrywek; gole_strzelone_w_domu; gole_strzelone_na_wyjezdzie; gole_stracone_w_domu; gole_stracone_na_wyjezdzie; zolte_kartki; czerwone_kartki; mecze_domowe; mecze_na_wyjezdzie; srednia_goli_straconych_w_domu; srednia_goli_strzelonych_w_domu; srednia_goli_straconych_na_wyjezdzie; srednia_goli_strzelonych_na_wyjezdzie; wygrane_w_domu; wygrane_na_wyjezdzie; przegrane_w_domu; przegrane_na_wyjezdzie; remisy_w_domu; remisy_na_wyjezdzie; liga
112; Metz; 2023; 14.0; 17.0; 14.0; 29.0; 47.0; 2.0; 14.0; 16.0; 1.4; 14.0; 1.8; 1.1; 3.0; 5.0; 8.0; 9.0; 3.0; 2.0; francuska
111; LE Havre; 2023; 14.0; 13.0; 14.0; 22.0; 63.0; 6.0; 15.0; 15.0; 1.1; 14.0; 1.5; 0.9; 5.0; 1.0; 8.0; 6.0; 2.0; 8.0; francuska
106; Stade Brestois 29; 2023; 24.0; 20.0; 24.0; 16.0; 71.0; 5.0; 14.0; 15.0; 0.8; 24.0; 1.1; 1.3; 8.0; 7.0; 1.0; 5.0; 5.0; 3.0; francuska
99; Clermont Foot; 2023; 10.0; 11.0; 10.0; 24.0; 55.0; 5.0; 15.0; 15.0; 1.7; 10.0; 1.6; 0.7; 2.0; 2.0; 8.0; 8.0; 5.0; 5.0; francuska
97; Lorient; 2023; 19.0; 16.0; 19.0; 31.0; 53.0; 1.0; 14.0; 15.0; 1.7; 19.0; 2.1; 1.1; 3.0; 3.0; 7.0; 8.0; 4.0; 4.0; francuska
96; Toulouse; 2023; 18.0; 16.0; 18.0; 19.0; 69.0; 0.0; 14.0; 15.0; 1.3; 18.0; 1.3; 1.1; 3.0; 6.0; 5.0; 6.0; 6.0; 3.0; francuska
95; Strasbourg; 2023; 19.0; 14.0; 19.0; 21.0; 50.0; 2.0; 15.0; 14.0; 1.3; 19.0; 1.5; 1.0; 6.0; 3.0; 6.0; 5.0; 3.0; 6.0; francuska
94; Rennes; 2023; 29.0; 15.0; 29.0; 16.0; 56.0; 4.0; 15.0; 15.0; 1.3; 29.0; 1.1; 1.0; 7.0; 4.0; 5.0; 5.0; 3.0; 6.0; francuska
93; Reims; 2023; 15.0; 21.0; 15.0; 24.0; 56.0; 2.0; 14.0; 15.0; 1.1; 15.0; 1.6; 1.4; 6.0; 5.0; 5.0; 6.0; 3.0; 4.0; francuska
91; Monaco; 2023; 21.0; 32.0; 21.0; 25.0; 69.0; 6.0; 14.0; 14.0; 0.9; 21.0; 1.8; 2.3; 7.0; 8.0; 4.0; 2.0; 3.0; 4.0; francuska
85; Paris Saint Germain; 2023; 34.0; 31.0; 34.0; 9.0; 44.0; 3.0; 14.0; 14.0; 1.1; 34.0; 0.6; 2.2; 8.0; 10.0; 1.0; 0.0; 5.0; 4.0; francuska
84; Nice; 2023; 19.0; 12.0; 19.0; 13.0; 49.0; 3.0; 15.0; 14.0; 0.6; 19.0; 0.9; 0.9; 8.0; 5.0; 3.0; 5.0; 4.0; 4.0; francuska
83; Nantes; 2023; 16.0; 12.0; 16.0; 20.0; 59.0; 3.0; 16.0; 14.0; 1.8; 16.0; 1.4; 0.9; 3.0; 6.0; 10.0; 7.0; 3.0; 1.0; francuska
82; Montpellier; 2023; 19.0; 19.0; 19.0; 22.0; 61.0; 2.0; 15.0; 15.0; 1.3; 19.0; 1.5; 1.3; 3.0; 6.0; 4.0; 7.0; 8.0; 2.0; francuska
79; Lille; 2023; 28.0; 14.0; 28.0; 17.0; 53.0; 2.0; 14.0; 14.0; 0.6; 28.0; 1.2; 1.0; 10.0; 3.0; 1.0; 4.0; 3.0; 7.0; francuska
80; Lyon; 2023; 20.0; 18.0; 20.0; 19.0; 52.0; 5.0; 15.0; 14.0; 1.7; 20.0; 1.4; 1.3; 5.0; 7.0; 6.0; 6.0; 4.0; 1.0; francuska
81; Marseille; 2023; 24.0; 17.0; 24.0; 24.0; 51.0; 4.0; 14.0; 14.0; 0.6; 24.0; 1.7; 1.2; 8.0; 2.0; 1.0; 8.0; 5.0; 4.0; francuska
