id_zawodnika; imie; nazwisko; id_druzyny; sezon_rozgrywek; wiek; wzrost; waga; kraj;wystepy; minuty; pozycja; rating; strzaly; strzaly_celne; gole;podania; dokladnosc_podan; podania_kluczowe; asysty; pojedynki; pojedynki_wygrane;proby_przechwytu; przechwyty_udane, dryblingi; dryblingi_wygrane; faule_na_zawodniku;faule_popelnione; kartki_zolte; kartki_czerwone; czy_kontuzjowany
6056; Nicolás Martín; Domínguez; 65; 2023; 26.0; 179.0; 73.0; Argentina; 23.0; 1420.0; Midfielder; 6.930434; 14.0; 6.0; 2.0; 743.0; 27.0; 10.0; 2.0; 182.0; 103.0; 62.0; 15.0; 15.0; 7.0; 15.0; 25.0; 3.0; 0.0; false
19305; Ryan James; Yates; 65; 2023; 27.0; 190.0; 87.0; England; 30.0; 1739.0; Midfielder; 6.786666; 16.0; 6.0; 0.0; 725.0; 19.0; 6.0; 0.0; 255.0; 144.0; 55.0; 20.0; 7.0; 3.0; 47.0; 49.0; 5.0; 0.0; false
22149; Ibrahim; Sangaré; 65; 2023; 27.0; 191.0; 77.0; Côte d'Ivoire; 15.0; 1002.0; Midfielder; 6.806666; 5.0; 0.0; 0.0; 409.0; 21.0; 6.0; 0.0; 126.0; 62.0; 40.0; 14.0; 12.0; 6.0; 8.0; 20.0; 6.0; 0.0; false
363695; Murillo; Santiago Costa dos Santos; 65; 2023; 22.0; 180.0; 75.0; Brazil; 27.0; 2359.0; Defender; 6.818518; 13.0; 5.0; 0.0; 1239.0; 35.0; 6.0; 2.0; 203.0; 95.0; 40.0; 29.0; 32.0; 19.0; 5.0; 32.0; 4.0; 0.0; false
2991; Cheikhou; Kouyaté; 65; 2023; 35.0; 189.0; 83.0; Senegal; 11.0; 202.0; Midfielder; 6.56; 5.0; 1.0; 0.0; 73.0; 5.0; 1.0; 0.0; 42.0; 21.0; 8.0; 2.0; 2.0; 1.0; 2.0; 6.0; 2.0; 0.0; false
2771; Temitayo Olufisayo Olaoluwa; Aina; 65; 2023; 28.0; 184.0; 82.0; Nigeria; 18.0; 1341.0; Defender; 6.661111; 4.0; 1.0; 1.0; 468.0; 20.0; 9.0; 1.0; 130.0; 80.0; 32.0; 13.0; 29.0; 17.0; 18.0; 14.0; 3.0; 0.0; false
147835; Andrew Abiola; Omobamidele; 65; 2023; 22.0; 188.0; 0.0; Republic of Ireland; 10.0; 764.0; Defender; 6.611111; 0.0; 0.0; 0.0; 300.0; 29.0; 2.0; 0.0; 37.0; 19.0; 9.0; 13.0; 0.0; 0.0; 3.0; 6.0; 2.0; 0.0; false
18739; Willy-Arnaud; Zobo Boly; 65; 2023; 33.0; 195.0; 92.0; Côte d'Ivoire; 16.0; 1089.0; Defender; 6.9625; 10.0; 5.0; 1.0; 494.0; 25.0; 5.0; 0.0; 135.0; 83.0; 32.0; 20.0; 3.0; 2.0; 1.0; 16.0; 2.0; 0.0; false
2468; Gonzalo Ariel; Montiel; 65; 2023; 27.0; 175.0; 68.0; Argentina; 10.0; 501.0; Defender; 6.72; 0.0; 0.0; 0.0; 222.0; 19.0; 5.0; 2.0; 42.0; 23.0; 14.0; 6.0; 0.0; 0.0; 0.0; 5.0; 4.0; 0.0; false
25916; Moussa; Niakhaté; 65; 2023; 28.0; 190.0; 82.0; Senegal; 16.0; 1158.0; Defender; 6.7625; 3.0; 1.0; 1.0; 527.0; 30.0; 3.0; 0.0; 67.0; 50.0; 33.0; 9.0; 2.0; 2.0; 3.0; 8.0; 3.0; 0.0; false
371; Felipe Augusto; de Almeida Monteiro; 65; 2023; 35.0; 190.0; 83.0; Brazil; 7.0; 373.0; Defender; 6.614285; 1.0; 0.0; 0.0; 213.0; 26.0; 2.0; 0.0; 50.0; 29.0; 12.0; 4.0; 2.0; 1.0; 2.0; 10.0; 4.0; 0.0; false
17365; Harry Stefano; Toffolo; 65; 2023; 29.0; 183.0; 71.0; England; 20.0; 1339.0; Defender; 6.805; 7.0; 5.0; 1.0; 413.0; 17.0; 18.0; 3.0; 98.0; 51.0; 25.0; 13.0; 3.0; 1.0; 2.0; 16.0; 3.0; 0.0; false
138780; Neco Shay; Williams; 65; 2023; 23.0; 183.0; 72.0; Wales; 24.0; 1508.0; Defender; 6.8125; 6.0; 2.0; 0.0; 531.0; 17.0; 11.0; 1.0; 243.0; 142.0; 65.0; 21.0; 37.0; 19.0; 28.0; 22.0; 4.0; 0.0; false
41577; Nuno Albertino; Varela Tavares; 65; 2023; 24.0; 183.0; 75.0; Portugal; 8.0; 455.0; Defender; 6.8; 7.0; 1.0; 0.0; 218.0; 21.0; 2.0; 0.0; 40.0; 22.0; 11.0; 1.0; 9.0; 6.0; 2.0; 8.0; 2.0; 0.0; false
557; Odysseas; Vlachodimos; 65; 2023; 30.0; 188.0; 78.0; Greece; 5.0; 450.0; Goalkeeper; 6.64; 0.0; 0.0; 0.0; 153.0; 24.0; 1.0; 0.0; 2.0; 1.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; false
50999; Matthew Charles; Turner; 65; 2023; 30.0; 191.0; 84.0; USA; 17.0; 1530.0; Goalkeeper; 7.0; 0.0; 0.0; 0.0; 473.0; 17.0; 0.0; 0.0; 7.0; 7.0; 0.0; 0.0; 0.0; 0.0; 3.0; 0.0; 2.0; 0.0; false
24882; Orel Johnson; Mangala; 65; 2023; 26.0; 178.0; 80.0; Belgium; 20.0; 1571.0; Midfielder; 6.705; 9.0; 1.0; 1.0; 642.0; 29.0; 6.0; 0.0; 142.0; 70.0; 27.0; 26.0; 26.0; 13.0; 21.0; 23.0; 6.0; 0.0; false
18746; Morgan Anthony; Gibbs-White; 65; 2023; 24.0; 171.0; 0.0; England; 32.0; 2712.0; Midfielder; 7.2125; 37.0; 14.0; 5.0; 1061.0; 25.0; 62.0; 7.0; 363.0; 173.0; 34.0; 12.0; 92.0; 42.0; 50.0; 34.0; 9.0; 0.0; false
277716; Antwoine; Hackford; 62; 2023; 20.0; 177.0; 0.0; England; 2.0; 11.0; Attacker; 6.25; 0.0; 0.0; 0.0; 2.0; 2.0; 0.0; 0.0; 2.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; false
315237; William Idamudia; Daugaard Osula; 62; 2023; 21.0; 180.0; 81.0; Denmark; 19.0; 755.0; Attacker; 6.461111; 14.0; 7.0; 0.0; 83.0; 2.0; 1.0; 0.0; 147.0; 39.0; 2.0; 2.0; 14.0; 2.0; 11.0; 14.0; 4.0; 0.0; false
373615; Ryan; Oné; 62; 2023; 18.0; 0.0; 0.0; Scotland; 1.0; 7.0; Attacker; 6.3; 0.0; 0.0; 0.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; false
19485; Benjamin Anthony; Brereton Díaz; 62; 2023; 25.0; 185.0; 80.0; Chile; 8.0; 591.0; Attacker; 6.975; 11.0; 9.0; 4.0; 110.0; 10.0; 5.0; 1.0; 62.0; 25.0; 4.0; 0.0; 13.0; 7.0; 12.0; 6.0; 3.0; 0.0; false
137302; Cameron Desmond; Archer; 62; 2023; 23.0; 181.0; 72.0; England; 23.0; 1468.0; Attacker; 6.2; 0.0; 0.0; 4.0; 6.0; 5.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; 1.0; 0.0; false
